q;i1;i2;s1;s2;s3;v1;v2;rt1;rt2;st1;st2;sl1;sl2;tan1;tan2;y;m
774;34;8;1200;930;630;9,67741935483871;7,894736842105263;31;38;7;0;630;0;0;0;0,7175;631,0318359298057
776;34;8;1200;930;630;9,67741935483871;7,894736842105263;31;38;7;0;630;0;0;0;0,72;631,0318359298057
778;34;8;1388;720;720;9,375;7,894736842105263;32;38;8;0;720;0;0;0;0,7225;721,0341123546212
780;34;8;1388;720;720;9,375;7,894736842105263;32;38;8;0;720;0;0;0;0,725;721,0341123546212
782;34;8;1388;720;720;9,375;7,894736842105263;32;38;8;0;720;0;0;0;0,7275;721,0341123546212
784;34;8;1598;1110;810;9,090909090909092;7,894736842105263;33;38;9;0;810;0;0;0;0,73;811,0520518610682
786;35;8;731;1660;760;9,67741935483871;7,894736842105263;31;38;8;0;760;0;0;0;0,7325;760,5571496981283
788;35;8;731;1660;760;9,67741935483871;7,894736842105263;31;38;8;0;760;0;0;0;0,735;760,5571496981283
790;35;8;826;1755;855;9,67741935483871;7,894736842105263;31;38;9;0;855;0;0;0;0,7375;855,5607389057432
792;35;8;832;1455;855;9,375;7,894736842105263;32;38;9;0;855;0;0;0;0,74;855,5560713238009
794;35;8;1166;1320;720;10;7,894736842105263;30;38;8;0;720;0;0;0;0,7425;720,9011250740034
796;35;8;975;1250;950;9,090909090909092;7,894736842105263;33;38;10;0;950;0;0;0;0,745;950,5795236738738
798;35;8;1088;1345;1045;9,090909090909092;7,894736842105263;33;38;11;0;1045;0;0;0;0,7475;1045,5909481379651
800;35;8;1158;1045;1045;8,823529411764707;7,894736842105263;34;38;11;0;1045;0;0;0;0,75;1045,619846146599
802;35;8;1388;720;720;9,375;7,894736842105263;32;38;8;0;720;0;0;0;0,7525;721,0341123546212
804;35;8;1510;900;900;9,375;7,894736842105263;32;38;10;0;900;0;0;0;0,755;900,9151964413835
806;35;8;1598;1110;810;9,090909090909092;7,894736842105263;33;38;9;0;810;0;0;0;0,7575;811,0520518610682
808;35;8;1720;1290;990;9,090909090909092;7,894736842105263;33;38;11;0;990;0;0;0;0,76;990,9426980547609
810;35;8;1720;1290;990;9,090909090909092;7,894736842105263;33;38;11;0;990;0;0;0;0,7625;990,9426980547609
812;35;8;1930;1680;1080;8,823529411764707;7,894736842105263;34;38;12;0;1080;0;0;0;0,765;1080,9675585583675
814;36;8;939;1550;950;9,375;7,894736842105263;32;38;10;0;950;0;0;0;0,7675;950,566773656126
816;36;8;939;1550;950;9,375;7,894736842105263;32;38;10;0;950;0;0;0;0,77;950,566773656126
818;36;8;1088;1345;1045;9,090909090909092;7,894736842105263;33;38;11;0;1045;0;0;0;0,7725;1045,5909481379651
820;36;8;843;1060;760;9,090909090909092;7,894736842105263;33;38;8;0;760;0;0;0;0,775;760,6138513253942
822;36;8;843;1060;760;9,090909090909092;7,894736842105263;33;38;8;0;760;0;0;0;0,7775;760,6138513253942
824;36;8;1024;855;855;8,823529411764707;7,894736842105263;34;38;9;0;855;0;0;0;0,78;855,6558085209481
826;36;8;1024;855;855;8,823529411764707;7,894736842105263;34;38;9;0;855;0;0;0;0,7825;855,6558085209481
